Código da Infração;Desdob;Descrição da Infração; Infrator; Pontos; Gravidade; Órgão Competente
513-4;1;Permitir posse/condução veíc a pessoa com CNH categoria diferente da do veículo;Proprietário;7;Gravíss 3X;ESTADUAL/RODOV
513-4;2;Permitir posse/condução veíc a pessoa com PPD categoria diferente da do veículo;Proprietário;7;Gravíss 3X;ESTADUAL/RODOV
514-2;0;Permitir posse/condução do veículo a pessoa com CNH vencida há mais de 30 dias;Proprietário;7;Gravíss;ESTADUAL/RODOV
515-0;1;Permitir posse/condução do veículo a pessoa sem usar lentes corretoras de visão;Proprietário;7;Gravíss;ESTADUAL/RODOV
515-0;2;Permitir posse/condução do veículo a pessoa s/ usar aparelho auxiliar de audição;Proprietário;7;Gravíss;ESTADUAL/RODOV
515-0;3;Permitir posse/condução do veículo a pessoa sem usar aparelho de prótese física;Proprietário;7;Gravíss;ESTADUAL/RODOV
515-0;4;Permitir posse/cond veíc s/ adaptações impostas concessão/renovação licença cond;Proprietário;7;Gravíss;ESTADUAL/RODOV
516-9;1;Dirigir sob a influência de álcool;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
516-9;2;Dirigir sob influência subst entorpecente ou q determine depend física/psíquica;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
517-7;0;Confiar/entregar veíc pess c/ estado físico/psíquico s/ condições dirigir segur;Proprietário;7;Gravíss;ESTADUAL/RODOV
518-5;1;Deixar o condutor de usar o cinto segurança;Condutor;5;Grave;EST/MUNIC/RODOV
518-5;2;Deixar o passageiro de usar o cinto segurança;Condutor;5;Grave;EST/MUNIC/RODOV
519-3;0;Transportar criança sem observância das normas de segurança estabelecidas p/ CTB;Condutor;7;Gravíss;EST/MUNIC/RODOV
520-7;0;Dirigir sem atenção ou sem os cuidados indispensáveis à segurança;Condutor;3;Leve;EST/MUNIC/RODOV
521-5;1;Dirigir ameaçando os pedestres que estejam atravessando a via pública;Condutor;7;Gravíss;EST/MUNIC/RODOV
521-5;2;Dirigir ameaçando os demais veículos;Condutor;7;Gravíss;EST/MUNIC/RODOV
522-3;1;Usar veículo para arremessar sobre os pedestres água ou detritos;Condutor;4;Média;MUNICIPAL/RODOV
522-3;2;Usar veículo para arremessar sobre os veículos água ou detritos;Condutor;4;Média;MUNICIPAL/RODOV
523-1;1;Atirar do veículo objetos ou substâncias;Condutor;4;Média;MUNICIPAL/RODOV
523-1;2;Abandonar na via objetos ou substâncias;Condutor;4;Média;MUNICIPAL/RODOV
524-0;0;Disputar corrida por espírito de emulação;Condutor;7;Gravíss 3X;EST/MUNIC/RODOV
525-8;1;Promover na via competição esportiva sem permissão;PF ou JUR;7;Gravíss 5X;MUNICIPAL/RODOV
525-8;2;Promover na via eventos organizados sem permissão;PF ou JUR;7;Gravíss 5X;MUNICIPAL/RODOV
525-8;3;Promover na via exibição e demonstração de perícia em manobra de veículo;PF ou JUR;7;Gravíss 5X;MUNICIPAL/RODOV
526-6;1;Participar na via como condutor em competição esportiva, sem permissão;Condutor;7;Gravíss 5X;MUNICIPAL/RODOV
526-6;2;Participar na via como condutor em evento organizado, sem permissão;Condutor;7;Gravíss 5X;MUNICIPAL/RODOV
526-6;3;Participar como condutor exib/demonst perícia em manobra de veic, s/ permissão;Condutor;7;Gravíss 5X;MUNICIPAL/RODOV
527-4;1;Utilizar-se de veículo para demonstrar ou exibir manobra perigosa;Condutor;7;Gravíss;ESTADUAL/RODOV
527-4;2;Utilizar-se de veículo para demonstrar ou exibir arrancada brusca;Condutor;7;Gravíss;ESTADUAL/RODOV
527-4;3;Utilizar-se de veículo para demonstrar ou exibir derrapagem ou frenagem;Condutor;7;Gravíss;ESTADUAL/RODOV
528-2;0;Deixar o cond envolvido em acidente, de prestar ou providenciar socorro a vítima;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
529-0;0;Deixar o cond envolvido em acid, de adotar provid p/ evitar perigo p/o trânsito;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
530-4;0;Deixar o cond envolvido em acidente, de preservar local p/ trab policia/pericia;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
531-2;0;Deixar o cond envolvido em acid, de remover o veíc local qdo determ polic/agente;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
532-0;0;Deixar o cond envolvido em acid, de identificar-se policial e prestar inf p/o BO;Condutor;7;Gravíss 5X;ESTADUAL/RODOV
533-9;0;Deixar o cond de prestar socorro vítima acid de trânsito, qdo solicit p/ agente;Condutor;5;Grave;EST/MUNIC/RODOV
534-7;0;Deixar o condutor envolvido em acidente s/ vítima, de remover o veículo do local;Condutor;4;Média;MUNICIPAL/RODOV
535-5;0;Fazer ou deixar que se faça reparo em veíc, em rodovia e via de trânsito rápido;Condutor;5;Grave;MUNICIPAL/RODOV
536-3;0;Fazer/deixar que se faça reparo em veíc nas vias (q não rodovia/transito rapido);Condutor;3;Leve;MUNICIPAL/RODOV
537-1;0;Ter seu veículo imobilizado na via por falta de combustível;Condutor;4;Média;MUNICIPAL/RODOV
538-0;0;Estacionar nas esquinas e a menos de 5m do alinhamento da via transversal;Condutor;4;Média;MUNICIPAL/RODOV
539-8;0;Estacionar afastado da guia da calçada (meio-fio) de 50cm a 1m;Condutor;3;Leve;MUNICIPAL/RODOV
540-1;0;Estacionar afastado da guia da calçada (meio-fio) a mais de 1m;Condutor;5;Grave;MUNICIPAL/RODOV
541-0;0;Estacionar em desacordo com as posições estabelecidas no CTB;Condutor;4;Média;MUNICIPAL/RODOV
542-8;1;Estacionar na pista de rolamento das estradas;Condutor;7;Gravíss;MUNICIPAL/RODOV
542-8;2;Estacionar na pista de rolamento das rodovias;Condutor;7;Gravíss;MUNICIPAL/RODOV
542-8;3;Estacionar na pista de rolamento das vias de trânsito rápido;Condutor;7;Gravíss;MUNICIPAL/RODOV
542-8;4;Estacionar na pista de rolamento das vias dotadas de acostamento;Condutor;7;Gravíss;MUNICIPAL/RODOV
543-6;0;Estacionar junto/sobre hidr de incêndio, reg de água/tampa de poço visit gal sub;Condutor;4;Média;MUNICIPAL/RODOV
544-4;0;Estacionar nos acostamentos;Condutor;3;Leve;MUNICIPAL/RODOV
545-2;1;Estacionar no passeio;Condutor;5;Grave;MUNICIPAL/RODOV
545-2;2;Estacionar sobre faixa destinada a pedestre;Condutor;5;Grave;MUNICIPAL/RODOV
545-2;3;Estacionar sobre ciclovia ou ciclofaixa;Condutor;5;Grave;MUNICIPAL/RODOV
545-2;4;Estacionar nas ilhas ou refúgios;Condutor;5;Grave;MUNICIPAL/RODOV
545-2;5;Estacionar ao lado ou sobre canteiro central;Condutor;5;Grave;MUNICIPAL/RODOV
545-2;6;Estacionar ao lado/sobre divisores de pista de rolamento/marcas de canalização;Condutor;5;Grave;MUNICIPAL/RODOV
545-2;7;Estacionar ao lado ou sobre gramado ou jardim público;Condutor;5;Grave;MUNICIPAL/RODOV
546-0;0;Estacionar em guia de calçada rebaixada destinada à entrada/saída de veículos;Condutor;4;Média;MUNICIPAL/RODOV
547-9;0;Estacionar impedindo a movimentação de outro veículo;Condutor;4;Média;MUNICIPAL/RODOV
548-7;0;Estacionar ao lado de outro veículo em fila dupla;Condutor;5;Grave;MUNICIPAL/RODOV
549-5;0;Estacionar na área de cruzamento de vias;Condutor;5;Grave;MUNICIPAL/RODOV
550-9;0;Estacionar no ponto de embarque/desembarque de passageiros transporte coletivo;Condutor;4;Média;MUNICIPAL/RODOV
551-7;1;Estacionar nos viadutos;Condutor;5;Grave;MUNICIPAL/RODOV
551-7;2;Estacionar nas pontes;Condutor;5;Grave;MUNICIPAL/RODOV
551-7;3;Estacionar nos túneis;Condutor;5;Grave;MUNICIPAL/RODOV
552-5;0;Estacionar na contramão de direção;Condutor;4;Média;MUNICIPAL/RODOV
553-3;0;Estacionar aclive/declive ñ freado e sem calço segurança, PBT superior a 3500kg;Condutor;5;Grave;MUNICIPAL/RODOV
554-1;1;Estacionar em desacordo com a regulamentação especificada pela sinalização;Condutor;3;Leve;MUNICIPAL/RODOV
554-1;2;Estacionar em desacordo com a regulamentação - estacionamento rotativo;Condutor;3;Leve;MUNICIPAL/RODOV
554-1;3;Estacionar em desacordo com a regulamentação - ponto ou vaga de táxi;Condutor;3;Leve;MUNICIPAL/RODOV
554-1;4;Estacionar em desacordo com a regulamentação - vaga de carga/descarga;Condutor;3;Leve;MUNICIPAL/RODOV
554-1;5;Estacionar em desacordo com a regulamentação - vaga portador necessid especiais;Condutor;3;Leve;MUNICIPAL/RODOV
554-1;6;Estacionar em desacordo com a regulamentação - vaga idoso;Condutor;3;Leve;MUNICIPAL/RODOV
555-0;0;Estacionar em local/horário proibido especificamente pela sinalização;Condutor;4;Média;MUNICIPAL/RODOV
556-8;0;Estacionar local/horário de estacionamento e parada proibidos pela sinalização;Condutor;5;Grave;MUNICIPAL/RODOV
557-6;0;Parar nas esquinas e a menos 5m do bordo do alinhamento da via transversal;Condutor;4;Média;MUNICIPAL/RODOV
558-4;0;Parar afastado da guia da calçada (meio-fio) de 50cm a 1m;Condutor;3;Leve;MUNICIPAL/RODOV
559-2;0;Parar afastado da guia da calçada (meio-fio) a mais de 1m;Condutor;4;Média;MUNICIPAL/RODOV
560-6;0;Parar em desacordo com as posições estabelecidas no CTB 182;Condutor;3;Leve;MUNICIPAL/RODOV
561-4;1;Parar na pista de rolamento das estradas;Condutor;5;Grave;MUNICIPAL/RODOV
561-4;2;Parar na pista de rolamento das rodovias;Condutor;5;Grave;MUNICIPAL/RODOV
561-4;3;Parar na pista de rolamento das vias de trânsito rápido;Condutor;5;Grave;MUNICIPAL/RODOV
561-4;4;Parar na pista de rolamento das demais vias dotadas acostamento;Condutor;5;Grave;MUNICIPAL/RODOV
562-2;1;Parar no passeio/calçada;Condutor;3;Leve;MUNICIPAL/RODOV
562-2;2;Parar sobre faixa destinada a pedestres;Condutor;3;Leve;MUNICIPAL/RODOV
562-2;3;Parar nas ilhas ou refúgios;Condutor;3;Leve;MUNICIPAL/RODOV
562-2;4;Parar nos canteiros centrais;Condutor;3;Leve;MUNICIPAL/RODOV
562-2;5;Parar nos divisores de pista de rolamento e marcas de canalização;Condutor;3;Leve;MUNICIPAL/RODOV
563-0;0;Parar na área de cruzamento de vias;Condutor;4;Média;MUNICIPAL/RODOV
564-9;1;Parar nos viadutos;Condutor;4;Média;MUNICIPAL/RODOV
564-9;2;Parar nas pontes;Condutor;4;Média;MUNICIPAL/RODOV
564-9;3;Parar nos túneis;Condutor;4;Média;MUNICIPAL/RODOV
565-7;0;Parar na contramão de direção;Condutor;4;Média;MUNICIPAL/RODOV
566-5;0;Parar em local/horário proibidos especificamente pela sinalização;Condutor;4;Média;MUNICIPAL/RODOV
567-3;1;Parar sobre faixa de pedestres na mudança de sinal luminoso;Condutor;4;Média;MUNICIPAL/RODOV
567-3;2;Parar sobre faixa de pedestres na mudança de sinal luminoso (fisc eletrônica);Condutor;4;Média;MUNICIPAL/RODOV
568-1;0;Transitar na faixa/pista da direita regul circulação exclusiva determ veículo;Condutor;3;Leve;MUNICIPAL/RODOV
569-0;0;Transitar na faixa/pista da esquerda regul circulação exclusiva determ veículo;Condutor;5;Grave;MUNICIPAL/RODOV
570-3;0;Deixar de conservar o veículo na faixa a ele destinada pela sinalização de regul;Condutor;4;Média;MUNICIPAL/RODOV
571-1;0;Deixar de conservar nas faixas da direita o veículo lento e de maior porte;Condutor;4;Média;MUNICIPAL/RODOV
572-0;0;Transitar pela contramão de direção em via com duplo sentido de circulação;Condutor;5;Grave;MUNICIPAL/RODOV
573-8;0;Transitar pela contramão de direção em via c/ sinalização de regul sentido único;Condutor;7;Gravíss;MUNICIPAL/RODOV
574-6;1;Transitar em local/horário não permitido pela regul estabelecida pela autoridade;Condutor;4;Média;MUNICIPAL/RODOV
574-6;2;Transitar em local/horário não permitido pela regulamentação - rodízio;Condutor;4;Média;MUNICIPAL/RODOV
574-6;3;Transitar em local/horário não permitido pela regulamentação - veículo de carga;Condutor;4;Média;MUNICIPAL/RODOV
576-2;0;Transitar ao lado de outro veículo, interrompendo ou perturbando o trânsito;Condutor;4;Média;MUNICIPAL/RODOV
577-0;1;Deixar de dar passagem a veíc precedido de batedores devidamente identificados;Condutor;7;Gravíss;EST/MUNIC/RODOV
577-0;2;Deixar de dar passagem a veíc socorro de incêndio em serv urgência devid identif;Condutor;7;Gravíss;EST/MUNIC/RODOV
577-0;3;Deixar de dar passagem a veíc de polícia em serviço de urgência devid identif;Condutor;7;Gravíss;EST/MUNIC/RODOV
577-0;4;Deixar de dar passagem a veíc de operação e fiscalização de trânsito devid ident;Condutor;7;Gravíss;EST/MUNIC/RODOV
577-0;5;Deixar de dar passagem a ambulância em serviço de urgência devid identificada;Condutor;7;Gravíss;EST/MUNIC/RODOV
578-9;0;Seguir veículo em serv urgência devid identific p/ alarme sonoro/ilum vermelha;Condutor;5;Grave;MUNICIPAL/RODOV
579-7;0;Forçar passagem entre veícs trans sent opostos na iminência realiz ultrapassagem;Condutor;7;Gravíss;MUNICIPAL/RODOV
580-0;0;Deixar guardar dist segurança lat/front entre seu veíc e demais e ao bordo pista;Condutor;5;Grave;MUNICIPAL/RODOV
581-9;1;Transitar com o veículo em calçadas, passeios;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
581-9;2;Transitar com o veículo em ciclovias, ciclofaixas;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
581-9;3;Transitar com o veículo em ajardinamentos, gramados, jardins públicos;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
581-9;4;Transitar com o veículo em canteiros centrais;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
581-9;5;Transitar com o veículo em ilhas, refúgios;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
581-9;6;Transitar com o veículo em divisores de pista de rolamento, marcas de canaliz.;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
581-9;7;Transitar com o veículo em acostamentos;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
581-9;8;Transitar com o veículo em passarelas;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
582-7;0;Transitar em marcha ré, salvo na distância necessária a pequenas manobras;Condutor;5;Grave;MUNICIPAL/RODOV
583-5;0;Desobedecer às ordens emanadas da autorid compet de trânsito ou de seus agentes;Condutor;5;Grave;EST/MUNIC/RODOV
584-3;1;Deixar de indicar c/ antec, med gesto de braço/luz indicadora, início da marcha;Condutor;5;Grave;EST/MUNIC/RODOV
584-3;2;Deixar de indicar c/ antec, med gesto de braço/luz indicadora, manobra de parar;Condutor;5;Grave;EST/MUNIC/RODOV
584-3;3;Deixar de indicar c/ antec, med gesto de braço/luz indicadora, mudança direção;Condutor;5;Grave;EST/MUNIC/RODOV
584-3;4;Deixar de indicar c/ antec, med gesto de braço/luz indicadora, mudança de faixa;Condutor;5;Grave;EST/MUNIC/RODOV
585-1;1;Deixar de deslocar c/antecedência veíc p/ faixa mais à esquerda qdo for manobrar;Condutor;4;Média;MUNICIPAL/RODOV
585-1;2;Deixar de deslocar c/antecedência veíc p/ faixa mais à direita qdo for manobrar;Condutor;4;Média;MUNICIPAL/RODOV
586-0;0;Deixar de dar passagem pela esquerda quando solicitado;Condutor;4;Média;MUNICIPAL/RODOV
587-8;0;Ultrapassar pela direita, salvo qdo veíc da frente der sinal p/ entrar esquerda;Condutor;4;Média;MUNICIPAL/RODOV
588-6;0;Ultrap pela direita veíc de transp coletivo parado para emb/desemb passageiros;Condutor;7;Gravíss;MUNICIPAL/RODOV
589-4;0;Deixar de guardar a distância lateral de 1,50m ao passar/ultrapassar bicicleta;Condutor;4;Média;MUNICIPAL/RODOV
590-8;0;Ultrapassar pelo acostamento;Condutor;5;Grave;MUNICIPAL/RODOV
591-6;1;Ultrapassar em interseções;Condutor;5;Grave;MUNICIPAL/RODOV
591-6;2;Ultrapassar em passagem de nível;Condutor;5;Grave;MUNICIPAL/RODOV
592-4;1;Ultrapassar pela contramão nas curvas sem visibilidade suficiente;Condutor;7;Gravíss;MUNICIPAL/RODOV
592-4;2;Ultrapassar pela contramão nos aclives ou declives, sem visibilidade suficiente;Condutor;7;Gravíss;MUNICIPAL/RODOV
593-2;0;Ultrapassar pela contramão nas faixas de pedestre;Condutor;7;Gravíss;MUNICIPAL/RODOV
594-0;1;Ultrapassar pela contramão nas pontes;Condutor;7;Gravíss;MUNICIPAL/RODOV
594-0;2;Ultrapassar pela contramão nos viadutos;Condutor;7;Gravíss;MUNICIPAL/RODOV
594-0;3;Ultrapassar pela contramão nos túneis;Condutor;7;Gravíss;MUNICIPAL/RODOV
595-9;1;Ultrapassar pela contramão veículo parado em fila junto sinal luminoso;Condutor;7;Gravíss;MUNICIPAL/RODOV
595-9;2;Ultrapassar pela contramão veículo parado em fila junto a cancela/porteira;Condutor;7;Gravíss;MUNICIPAL/RODOV
595-9;3;Ultrapassar pela contramão veículo parado em fila junto a cruzamento;Condutor;7;Gravíss;MUNICIPAL/RODOV
595-9;4;Ultrapassar pela contramão veíc parado em fila junto qq impedimento à circulação;Condutor;7;Gravíss;MUNICIPAL/RODOV
596-7;0;Ultrapassar pela contramão linha de divisão de fluxos opostos, contínua amarela;Condutor;7;Gravíss;MUNICIPAL/RODOV
597-5;0;Deixar de parar no acostamento à direita, p/ cruzar pista ou entrar à esquerda;Condutor;5;Grave;MUNICIPAL/RODOV
598-3;0;Ultrapassar veículo em movimento que integre cortejo/desfile/formação militar;Condutor;3;Leve;MUNICIPAL/RODOV
599-1;0;Executar operação de retorno em locais proibidos pela sinalização;Condutor;7;Gravíss;MUNICIPAL/RODOV
600-9;1;Executar operação de retorno nas curvas;Condutor;7;Gravíss;MUNICIPAL/RODOV
600-9;2;Executar operação de retorno nos aclives ou declives;Condutor;7;Gravíss;MUNICIPAL/RODOV
600-9;3;Executar operação de retorno nas pontes;Condutor;7;Gravíss;MUNICIPAL/RODOV
600-9;4;Executar operação de retorno nos viadutos;Condutor;7;Gravíss;MUNICIPAL/RODOV
600-9;5;Executar operação de retorno nos túneis;Condutor;7;Gravíss;MUNICIPAL/RODOV
601-7;1;Executar operação de retorno passando por cima de calçada, passeio;Condutor;7;Gravíss;MUNICIPAL/RODOV
601-7;2;Executar operação de retorno passando por cima de ilha, refúgio;Condutor;7;Gravíss;MUNICIPAL/RODOV
601-7;3;Executar operação de retorno passando por cima de ajardinamento;Condutor;7;Gravíss;MUNICIPAL/RODOV
601-7;4;Executar operação de retorno passando por cima de canteiro de divisor de pista;Condutor;7;Gravíss;MUNICIPAL/RODOV
601-7;5;Executar operação de retorno passando por cima de faixa de pedestres;Condutor;7;Gravíss;MUNICIPAL/RODOV
601-7;6;Executar operação de retorno passando por cima de faixa de veíc não motorizados;Condutor;7;Gravíss;MUNICIPAL/RODOV
602-5;0;Executar retorno nas interseções, entrando na contramão da via transversal;Condutor;7;Gravíss;MUNICIPAL/RODOV
603-3;0;Executar retorno c/prejuízo da circulação/segurança ainda que em local permitido;Condutor;7;Gravíss;MUNICIPAL/RODOV
604-1;1;Executar operação de conversão à direita em local proibido pela sinalização;Condutor;5;Grave;MUNICIPAL/RODOV
604-1;2;Executar operação de conversão à esquerda em local proibido pela sinalização;Condutor;5;Grave;MUNICIPAL/RODOV 
605-0;1;Avançar o sinal vermelho do semáforo;Condutor;7;Gravíss;MUNICIPAL/RODOV
605-0;2;Avançar o sinal de parada obrigatória;Condutor;7;Gravíss;MUNICIPAL/RODOV
605-0;3;Avançar o sinal vermelho do semáforo - fiscalização eletrônica;Condutor;7;Gravíss;MUNICIPAL/RODOV
606-8;1;Transpor bloqueio viário com ou sem sinalização ou dispositivos auxiliares;Condutor;5;Grave;EST/MUNIC/RODOV
606-8;2;Deixar de adentrar às áreas destinadas à pesagem de veículos;Condutor;5;Grave;EST/MUNIC/RODOV
606-8;3;Evadir-se para não efetuar o pagamento do pedágio;Condutor;5;Grave;EST/MUNIC/RODOV
607-6;0;Transpor bloqueio viário policial;Condutor;7;Gravíss;EST/MUNIC/RODOV
608-4;1;Ultrapassar veículos motorizados em fila, parados em razão de sinal luminoso;Condutor;5;Grave;EST/MUNIC/RODOV
608-4;2;Ultrapassar veículos motorizados em fila, parados em razão de cancela;Condutor;5;Grave;EST/MUNIC/RODOV
608-4;3;Ultrapassar veíc motorizados em fila parados em razão de bloqueio viário parcial;Condutor;5;Grave;EST/MUNIC/RODOV
608-4;4;Ultrapassar veículos motorizados em fila, parados em razão de qualquer obstáculo;Condutor;5;Grave;EST/MUNIC/RODOV
609-2;0;Deixar de parar o veículo antes de transpor linha férrea;Condutor;7;Gravíss;MUNICIPAL/RODOV
610-6;0;Deixar de parar sempre que a marcha for interceptada por agrupamento de pessoas;Condutor;7;Gravíss;MUNICIPAL/RODOV
611-4;0;Deixar de parar sempre que a marcha for interceptada por agrupamento de veículos;Condutor;5;Grave;MUNICIPAL/RODOV
612-2;0;Deixar de dar preferência a pedestre/veic ñ motorizado na faixa a ele destinada;Condutor;7;Gravíss;MUNICIPAL/RODOV
613-0;0;Deixar de dar preferência a pedestre/veic ñ mot que ñ haja concluído a travessia;Condutor;7;Gravíss;MUNICIPAL/RODOV
614-9;0;Deixar de dar preferência a pedestre port deficiência fís/criança/idoso/gestante;Condutor;7;Gravíss;MUNICIPAL/RODOV
615-7;0;Deixar de dar preferência a pedestre/veic ñ mot qdo iniciada travessia s/sinaliz;Condutor;5;Grave;MUNICIPAL/RODOV
616-5;0;Deixar de dar preferência a pedestre/veic não mot atravessando a via transversal;Condutor;5;Grave;MUNICIPAL/RODOV
617-3;1;Deixar de dar preferência em interseção ñ sinaliz, a veíc circulando por rodovia;Condutor;5;Grave;MUNICIPAL/RODOV
617-3;2;Deixar de dar preferência em interseção ñ sinaliz, veíc circulando por rotatória;Condutor;5;Grave;MUNICIPAL/RODOV
617-3;3;Deixar de dar prefer em interseção não sinalizada, a veículo que vier da direita;Condutor;5;Grave;MUNICIPAL/RODOV
618-1;0;Deixar de dar preferência nas interseções com sinalização de Dê a Preferência;Condutor;5;Grave;MUNICIPAL/RODOV
619-0;0;Entrar/sair área lindeira sem precaução com a segurança de pedestres e veículos;Condutor;4;Média;MUNICIPAL/RODOV
620-3;0;Entrar/sair de fila de veículos estacionados sem dar pref a pedestres/veículos;Condutor;4;Média;MUNICIPAL/RODOV
621-1;0;Transitar em velocidade super máx permitida em até 20% - infrações até 25.07.06;Condutor;5;Grave;MUNICIPAL/RODOV
622-0;0;Transitar em veloc super à máx permitida em mais de 20% - infrações até 25.07.06;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
623-8;0;Transitar em veloc super à máx permitida em até de 50% - infrações até 25.07.06;Condutor;5;Grave;MUNICIPAL/RODOV
624-6;0;Transitar em veloc super à máx permitida em mais de 50% - infrações até 25.07.06;Condutor;7;Gravíss 3X;MUNICIPAL/RODOV
625-4;0;Transitar em velocidade inferior à metade da máxima da via, salvo faixa direita;Condutor;4;Média;MUNICIPAL/RODOV
626-2;0;Deixar de reduzir a veloc qdo se aproximar de passeata/aglomeração/desfile/etc;Condutor;7;Gravíss;MUNICIPAL/RODOV
627-0;0;Deixar de reduzir a veloc onde o trânsito esteja sendo controlado pelo agente;Condutor;5;Grave;MUNICIPAL/RODOV
628-9;1;Deixar de reduzir a velocidade do veículo ao aproximar-se da guia da calçada;Condutor;5;Grave;MUNICIPAL/RODOV
628-9;2;Deixar de reduzir a velocidade do veículo ao aproximar-se do acostamento;Condutor;5;Grave;MUNICIPAL/RODOV
629-7;0;Deixar de reduzir velocidade do veículo ao aproximar-se interseção ñ sinalizada;Condutor;5;Grave;MUNICIPAL/RODOV
630-0;0;Deixar reduzir velocidade nas vias rurais cuja faixa domínio não esteja cercada;Condutor;5;Grave;MUNICIPAL/RODOV
631-9;0;Deixar de reduzir a velocidade nos trechos em curva de pequeno raio;Condutor;5;Grave;MUNICIPAL/RODOV
632-7;0;Deixar de reduzir veloc ao aproximar local sinaliz advert de obras/trabalhadores;Condutor;5;Grave;MUNICIPAL/RODOV
633-5;0;Deixar de reduzir a velocidade sob chuva/neblina/cerração/ventos fortes;Condutor;5;Grave;MUNICIPAL/RODOV
634-3;0;Deixar de reduzir a velocidade quando houver má visibilidade;Condutor;5;Grave;MUNICIPAL/RODOV
635-1;0;Deixar de reduzir veloc qdo pavimento se apresentar escorreg/defeituoso/avariado;Condutor;5;Grave;MUNICIPAL/RODOV
636-0;0;Deixar de reduzir a velocidade à aproximação de animais na pista;Condutor;5;Grave;MUNICIPAL/RODOV
